Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram,YouTube,Широта,Долгота,2GIS URL
Тортуга,бар,Бары; Банкетные залы; Кафе,"Приозёрная улица, 18",,610007,Вересники м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+03:00,5.0,1,89635505579,,,,,,,https://vk.com/bar_tortuga_kirov,,,,,,,58.57808,49.695433,https://2gis.com/firm/70000001024949366
Trawa,кофейня-кондитерская полезных десертов,Кофейни; Кафе-кондитерские; Кондитерские изделия,"улица Ленина, 107",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.9,54,89536706329,,,,,,,https://vk.com/trawa.kirov,https://wa.me/79536706329,,,,,,58.59287,49.681452,https://2gis.com/firm/70000001054085392
Куркума,ресторан-чайхана,Рестораны; Доставка готовых блюд,"Спасская улица, 67",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.7,118,88332470220,,,,,,,https://vk.com/curcumakirov,https://wa.me/79123369620,,viber://chat/?number=79123369620,,,,58.60185,49.660061,https://2gis.com/firm/70000001039265199
Огонь да мясо,бар,Бары; Кафе; Банкетные залы; Доставка готовых блюд,"улица Челюскинцев, 7",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00,+03:00,5.0,6,,,,,,,,,,,,,,,58.578097,49.640043,https://2gis.com/firm/70000001047965030
Кавказский дворик,кафе,Быстрое питание,"Пролетарская улица, 22Б",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+03:00,2.0,1,,,,,,,,,,,,,,,58.589351,49.675862,https://2gis.com/firm/70000001056245620
Царское Село,ресторация русской кухни,Рестораны; Банкетные залы; Кейтеринг; Кондитерские изделия,"улица Герцена, 78",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.4,46,88332405343,,,,http://m-kyhnia.ru/tsarskoe-selo/,,,https://vk.com/mkyhnia,,,,,,,58.599747,49.656206,https://2gis.com/firm/8163302605593109
Минутка,кафе-пельменная,Кафе,"улица Андрея Упита, 11",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,1.0,3,89823812632,,,,,,,,,,,,,,58.60474,49.590321,https://2gis.com/firm/70000001049963791
Ватрушка House,кафе,Быстрое питание,"Комсомольская улица, 39",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,3.8,6,,,,,,,,,,,,,,,58.579009,49.648833,https://2gis.com/firm/70000001019886067
Шоколадница,кофейня,Кофейни,"Луганская улица, 53/2",1 этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.7,36,88332253555 (многоканальный),,,,http://shoko.ru,http://shokokirov.ru,,https://vk.com/shokokirov,,,,,,,58.617038,49.595777,https://2gis.com/firm/70000001048788111
Барон Чайхаузен,бутик-кофейня,Кофейни; Продажа кофе,"улица Розы Люксембург, 30",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,16,89195290430,,,,,,,https://vk.com/baronchay,https://wa.me/79195290430,,viber://chat/?number=79195290430,,https://t.me/baron_chayhauzen,,58.611726,49.678848,https://2gis.com/firm/70000001007528563
Бублик,семейное кафе,Кафе; Банкетные залы,"улица Талица, 50",,610902,Слобода Талица,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.0,1,88332468292,89128268292,,,http://юркинпарк.рф/kafe/yurkin-bublik,,,,,,,,,,58.613115,49.78234,https://2gis.com/firm/70000001063918921
Шашлычный рай,кафе,Быстрое питание,"Пролетарская улица, 24/1",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,3.8,10,89229150282,89127271812,,,,,,,https://wa.me/79229150282,https://wa.me/79127271812,,,,,58.589328,49.674073,https://2gis.com/firm/70000001028037753
Хорошее Заведение,кафе-бар,Кафе; Бары,"Пятницкая улица, 102",цокольный этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.0,1,,,,,,,,,,,,,,,58.606397,49.650473,https://2gis.com/firm/70000001021293247
Золотая осень,кафе,Столовые,"улица Дзержинского, 64",1 этаж,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+03:00,2.7,3,88332233200,88332232747,,,,,,https://vk.com/foodavitek,,,,,,,58.633503,49.614679,https://2gis.com/firm/8163302605589021
"Барбарис, кафе",,Кафе; Столовые; Банкетные залы,"проспект Россия, 29",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-22:00,+03:00,3.9,9,88336122999,88336135666,89539464244,,,,,https://vk.com/club85491943,,,,,,,58.544953,50.045597,https://2gis.com/firm/70000001039155781
Дымка,кафе-бар,Бары; Кафе,"Береговая улица, 1",1 этаж,613117,,,,Слободской район,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,89229591649,,,,,,,https://vk.com/sparrowlake,https://wa.me/79229591649,,,,,,58.691168,49.829197,https://2gis.com/firm/70000001020273536
Штольня,кафе,Быстрое питание; Рюмочные,"улица Маршала Ивана Конева, 1а",,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,1.0,1,88332214211,,,,,,,,,,,,,,58.596106,49.599659,https://2gis.com/firm/70000001032630335
"Пятница, кафе",,Кафе,"проспект Мира, 43г",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-17:00; Вс: 09:00-16:00,+03:00,,,,,,,,,,,,,,,,,58.551032,50.051237,https://2gis.com/firm/70000001039155736
Пельмени,кафе,Быстрое питание,"улица Азина, 82",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-18:00,+03:00,3.3,9,88332604625,,,,,,,,,,,,,,58.584891,49.651867,https://2gis.com/firm/8163302605591237
Соточка,кафе-бар,Бары; Кафе,"улица Орджоникидзе, 18а",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,,,89127289312,,,,,,,,https://wa.me/79127289312,,,,,,58.504977,49.706619,https://2gis.com/firm/8163302605592166
Пельмень-бар,,Кафе,"улица Менделеева, 30а",,610048,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,3.0,1,,,,,,,,,,,,,,,58.599207,49.602899,https://2gis.com/firm/70000001061836807
Кафе,,Кафе,"Советская улица, 15",,610008,Село Красное,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,5.0,1,88332260369,,,,,,,,,,,,,,58.536445,49.688158,https://2gis.com/firm/70000001023575920
Ресторацiя С.В. Седельниковъ и Ко,кафе,Быстрое питание,"Пролетарская улица, 15",3 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,1.9,8,,,,,,,,,,,,,,,58.589887,49.680671,https://2gis.com/firm/8163303605973949
На Филейке,кафе,Быстрое питание; Рюмочные,"Октябрьский проспект, 2",1 этаж,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 07:00-17:00; Вс: 07:00-16:00,+03:00,2.5,2,88332233200,,,,,,,,,,,,,,58.638335,49.612345,https://2gis.com/firm/8163302605618890
Cheese.Coff,сыроварня-кофейня,Кофейни; Сыры,"улица Карла Маркса, 18а",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,5.0,2,89128275253,88332475253,,,,,,https://vk.com/cheese.coff,https://wa.me/79128275253,,viber://chat/?number=79128275253,,https://t.me/+79128275253,,58.613771,49.667375,https://2gis.com/firm/70000001063231164
Вятские пельмени,кафе,Быстрое питание,"Октябрьский проспект, 88",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,4.2,8,,,,,,,,,,,,,,,58.594036,49.658563,https://2gis.com/firm/70000001032888070
Рандеву,кафе,Кафе,"деревня Прошино, 56",,613006,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-22:00,+03:00,,,89127170226,,,,,,,,https://wa.me/79127170226,,viber://chat/?number=79127170226,,,,58.469398,49.754596,https://2gis.com/firm/70000001067152053
Арт-кофейня,,Кофейни; Продажа кофе,"улица Горького, 5а",4 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.4,12,89823832363,,,,,,,,https://wa.me/79823832363,,,,,,58.599047,49.648663,https://2gis.com/firm/70000001055724349
Полезнямки,кафе-кондитерская полезных сладостей,Кондитерские изделия; Кофейни; Диетические / соевые продукты; Кафе-кондитерские,"улица Герцена, 64",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+03:00,5.0,2,,,,,,,,https://vk.com/poleznyamki,,,,,,,58.599699,49.660016,https://2gis.com/firm/70000001025101961
Телец,кафе,Быстрое питание; Рюмочные,"улица Крупской, 5",1 этаж,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 05:30-24:00; Вт: 05:30-24:00; Ср: 05:30-24:00; Чт: 05:30-24:00; Пт: 05:30-24:00; Сб: 05:30-24:00; Вс: 05:30-24:00,+03:00,5.0,1,,,,,,,,,,,,,,,58.63076,49.61789,https://2gis.com/firm/8163303606062468
"Винтаж, кафе",,Кафе,"Молодёжная улица, 9",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,88336125484,,,,,,,,,,,,,,58.547217,50.061521,https://2gis.com/firm/70000001039155740
Лаззат,кафе,Быстрое питание,"Милицейская улица, 31",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00; Сб: 09:00-16:00; Вс: 09:00-16:00,+03:00,,,,,,,,,,,,,,,,,58.588541,49.675655,https://2gis.com/firm/70000001025503717
Экспресс,кафе,Быстрое питание,"Комсомольская улица, 42","2, 3 этаж",610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,,,,,,,,,,,,,,,58.578823,49.651333,https://2gis.com/firm/70000001036489915
Красный дракон,кафе-бар,Бары; Кафе,"улица Маклина, 59",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,3.0,4,,,,,,,,,,,,,,,58.596231,49.647383,https://2gis.com/firm/8163302605590005
Русь,кафе,Кафе,"Казанская улица, 74",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-11:00; Вт: 07:00-11:00; Ср: 07:00-11:00; Чт: 07:00-11:00; Пт: 07:00-11:00; Сб: 07:00-11:00; Вс: 07:00-11:00,+03:00,,,88332675747 (доп.2),88332714010,88332711170,,http://gubern.kirov.ru,,,https://vk.com/gubernskayakaferus,,,,,,,58.596774,49.685031,https://2gis.com/firm/8163302605592737
Универсалка,кафе,Кафе,"Комсомольская улица, 18",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,88332372533,,,,,,,,,,,,,,58.582322,49.663991,https://2gis.com/firm/8163302605592815
Кафе-бар,,Кафе; Бары,"улица Сурикова, 40",цокольный этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.0,4,,,,,,,,,,,,,,,58.580816,49.638757,https://2gis.com/firm/8163303606041036
Уголок,кафе,Кафе,"улица Воровского, 102",1 этаж,610021,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,,,88332622630,,,,,,,,,,,,,,58.596342,49.606486,https://2gis.com/firm/8163303606118839
Венера,кафе,Кафе,"улица Павла Корчагина, 62",1 этаж,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.7,3,88332401972,,,,,,,,,,,,,,58.639168,49.729434,https://2gis.com/firm/70000001007348765
Крем,арт-буфет,Кафе; Кейтеринг,"улица Гайдара, 3",2 этаж,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,,+03:00,5.0,1,88332441866,,,,,,,,,,,,,,58.628033,49.640657,https://2gis.com/firm/70000001038894310
Дом,арт-пространство,Кафе; Организация театральных / концертных мероприятий; Организация выставок,"Московская улица, 4",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 14:00-24:00; Ср: 14:00-24:00; Чт: 14:00-24:00; Пт: 14:00-24:00; Сб: 14:00-24:00; Вс: 14:00-24:00,+03:00,,,89539414745,,,,,,,https://vk.com/atrdom43,https://wa.me/79539414745,,viber://chat/?number=79539414745,,https://t.me/+79539414745,,58.603334,49.682777,https://2gis.com/firm/70000001069049828
Вкусно — и точка,,Быстрое питание; Доставка готовых блюд,"Октябрьский проспект, 147а",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,2.7,68,88332203794,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,58.588547,49.657439,https://2gis.com/firm/8163303606103681
Трапезная,кафе,Кафе,"Боровицкая улица, 36",1 этаж,610902,,,,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.0,1,88332439797 (администратор),89229932508 (банкетный менеджер),,,http://hotel-kirov.ru/restaurants,,,https://vk.com/kafe_trapeznayadubrovsky,,,,,,,58.606963,49.809766,https://2gis.com/firm/70000001066421271
Fame,итальянский ресторан,Рестораны; Пиццерии,"Динамовский проезд, 22",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,3.3,20,88332777002,89229807002,,,http://pastafame.ru,,,https://vk.com/famepastavino,,,,,,,58.603068,49.686814,https://2gis.com/firm/70000001061371415
Встреча,кафе,Рюмочные,"Комсомольская улица, 12",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+03:00,1.0,1,,,,,,,,,,,,,,,58.584052,49.667565,https://2gis.com/firm/8163302605632092
"Фрегат, кафе",,Кафе,"Луговая улица, 22",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,,,,,,,,,,,,,,,58.547785,50.057625,https://2gis.com/firm/70000001039155738
Для Вас,кафе,Рюмочные; Быстрое питание,"улица Сутырина, 18",цокольный этаж,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,2.2,4,88332444795,,,,,,,,,,,,,,58.642044,49.613344,https://2gis.com/firm/8163302605588686
Академия кавказской кухни,,Рестораны,"улица Янтарная слобода, 14в",,610902,Слобода Талица,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00 (первый пн месяца: 12:00-23:00),+03:00,3.1,108,88332454445,,,,http://akk43.ru,,,https://vk.com/academykk_43,,,,,,,58.611646,49.789372,https://2gis.com/firm/70000001028975354
Виктория,кафе,Быстрое питание; Рюмочные,"проспект Строителей, 50",1 этаж,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,2,,,,,,,,,,,,,,,58.589353,49.591731,https://2gis.com/firm/8163303606096091
Аппетитно,кафе,Столовые,"Милицейская улица, 31",9-О место,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 08:30-16:00; Ср: 08:30-16:00; Чт: 08:30-16:00; Пт: 08:30-16:00; Сб: 08:30-16:00; Вс: 08:30-16:00,+03:00,,,,,,,,,,,,,,,,,58.587592,49.675824,https://2gis.com/firm/70000001034647408
Богатырь,кафе,Рюмочные; Быстрое питание,"Октябрьский проспект, 105",цокольный этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,3.0,4,,,,,,,,,,,,,,,58.609015,49.65653,https://2gis.com/firm/8163302605749184
Вятские пельмени,кафе,Быстрое питание,"Пролетарская улица, 28",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,5.0,1,,,,,,,,,,,,,,,58.589192,49.672677,https://2gis.com/firm/70000001054954832
"Ямской дворик, кафе",,Кафе; Пиццерии,"улица Энгельса, 14",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.9,15,88336145019,,,,http://yamskoi-dvorik.ru,,,,,,,,,,58.553593,50.038778,https://2gis.com/firm/70000001039152676
Арлекино,кафе,Кафе,"Первомайская улица, 5",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,,,,58.554876,50.046207,https://2gis.com/firm/70000001062109159
Юбилейное,кафе,Кафе,"улица Мира, 15",,613117,,,,Слободской район,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-22:00; Вс: 08:00-10:00,+03:00,,,,,,,,,,,,,,,,,58.702903,49.761249,https://2gis.com/firm/8163303606238030
Вятские пельмени,кафе,Быстрое питание,"Профсоюзная улица, 27",1 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,2.0,1,,,,,,,,,,,,,,,58.615391,49.675327,https://2gis.com/firm/70000001027993581
"Мама наготовила. Сёма, ешь",кулинария,Кулинарии; Кафе-кондитерские; Кондитерские изделия; Пекарни,"улица Карла Либкнехта, 71",1 этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.2,6,89195121058,,,,,,,https://vk.com/mama_nagotovila_43,https://wa.me/79195121058,,,,,,58.602785,49.664815,https://2gis.com/firm/70000001062194568
Настенька,кафе,Кафе,"Первомайский переулок, 5",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 11:30-24:00; Вт: 11:30-24:00; Ср: 11:30-24:00; Чт: 11:30-24:00; Пт: 11:30-04:00; Сб: 10:00-04:00; Вс: 10:00-24:00,+03:00,3.0,2,89097209640,,,,,,,,,,,,,,58.553381,50.03985,https://2gis.com/firm/70000001054558259
"С пылу, с жару",загородное кафе,Кафе; Банкетные залы,"Совхозная улица, 1/1",,613145,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,4.0,7,89630000500,,,,,,,,,,,,,,58.499185,49.91895,https://2gis.com/firm/70000001007351384
