Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Дача,кафе-шашлычная,Кафе; Бары,"трасса Гнусино-Шихово, 41",,613117,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.8,11,88332446346,88332457247,,,,,https://vk.com/public109140328,,,,,,58.656076,49.786862,https://2gis.com/firm/70000001017481170
Город,бар,Бары; Кафе,"проспект Россия, 28",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,2.7,3,89128248777,,,,,,https://vk.com/bargorod,,,,,,58.546971,50.043715,https://2gis.com/firm/70000001039154684
Респект,бар,Бары,"улица Менделеева, 13",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.0,1,,,,,,,,,,,,,58.606052,49.602021,https://2gis.com/firm/70000001018945194
Бар,,Бары,"улица Менделеева, 13",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,,,88332510910,,,,,,,,,,,,58.606147,49.601784,https://2gis.com/firm/70000001018945253
Дымка,бар,Бары,"Производственная улица, 29/3",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,5.0,1,88332224344,,,,,,,,,,,,58.572681,49.608928,https://2gis.com/firm/70000001023537404
Коммуналка,пивная,Бары; Быстрое питание,"улица Орджоникидзе, 1",1 этаж,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-02:00,+03:00,5.0,3,89127388888,,,,,,https://vk.com/kommunalkapivnaya,,,,,,58.509373,49.694752,https://2gis.com/firm/70000001041631912
Арион,бар,Бары,"Московская улица, 185",1 этаж,610048,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.3,3,88332621176,,,,,,,,,,,,58.602849,49.591427,https://2gis.com/firm/8163303606085391
Бар,,Бары; Быстрое питание,"Луганский проезд, 6/1",2 этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,5.0,2,88332715808,,,,,,,,,,,,58.612461,49.590017,https://2gis.com/firm/70000001027929673
"Клюшки, спортбар",,Бары,"переулок Родыгина, 4",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,,,,,,,,,,,,,,,58.554195,50.049819,https://2gis.com/firm/70000001039155270
Бар,,Бары,"проезд Фёдора Шаляпина, 2",,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,,58.645539,49.621591,https://2gis.com/firm/70000001065403287
Академия Виски,,Бары,"улица Талица, 45а",цокольный этаж,610902,Слобода Талица,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 13:00-23:00; Вт: 13:00-23:00; Ср: 13:00-23:00; Чт: 13:00-23:00; Пт: 13:00-24:00; Сб: 13:00-24:00; Вс: 13:00-23:00,+03:00,,,88332777887,89229777887,,http://akk43.ru/whisky.html,,,,https://wa.me/79229777887,,viber://chat/?number=79229777887,,,58.611963,49.788524,https://2gis.com/firm/70000001035084168
"Z & Z, бар",,Бары,"улица Ленина, 24",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пт: 20:00-03:00; Сб: 20:00-03:00,+03:00,,,,,,,,,https://vk.com/hookahzz43,,,,,,58.542088,50.027477,https://2gis.com/firm/70000001039154691
Соточка,кафе-бар,Бары; Кафе,"улица Орджоникидзе, 18а",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,,,89127289312,,,,,,,https://wa.me/79127289312,,,,,58.504977,49.706619,https://2gis.com/firm/8163302605592166
Дымка,кафе-бар,Бары; Кафе,"Береговая улица, 1",1 этаж,613117,,,,Слободской район,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,89229591649,,,,,,https://vk.com/sparrowlake,https://wa.me/79229591649,,,,,58.691168,49.829197,https://2gis.com/firm/70000001020273536
"Дубовая Бочка, бар",,Бары,"улица Калинина, 33",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,,,89127387828,,,,,,,,,,,,58.552787,50.036918,https://2gis.com/firm/70000001039154681
Берлога,пивной бар,Бары,"улица Алексея Некрасова, 29 к3",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,1,89536992868,,,,,,https://vk.com/club130044828,,,,,,58.53981,50.044636,https://2gis.com/firm/70000001039154694
Свой в доску,бар,Бары,"Октябрьская улица, 29а",1 этаж,610013,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+03:00,,,89127388888,,,,,,https://vk.com/club169035759,,,,,,58.495149,49.739439,https://2gis.com/firm/70000001036232493
Цитрон,бар,Бары,"Московская улица, 59",,610913,,,,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (технический перерыв: пн-вс 13:00-14:00),+03:00,,,,,,,,,,,,,,,58.596714,49.543288,https://2gis.com/firm/70000001033251865
Steampank,бар,Бары,"Индустриальная улица, 3",2 этаж,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 17:00-10:00; Вт: 17:00-10:00; Ср: 17:00-10:00; Чт: 17:00-10:00; Пт: 17:00-10:00; Сб: 17:00-10:00; Вс: 17:00-10:00,+03:00,3.0,2,88332776636,,,,,,https://vk.com/public192203078,,,,,,58.504602,49.65985,https://2gis.com/firm/70000001031339028
"Уралочка, кафе",,Кафе; Бары,"улица Карла Маркса, 3а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 06:00-20:00; Вт: 06:00-20:00; Ср: 06:00-20:00; Чт: 06:00-20:00; Пт: 06:00-20:00; Сб: 06:00-20:00; Вс: 06:00-20:00,+03:00,2.0,2,88336146309,,,,,,,,,,,,58.552319,50.03421,https://2gis.com/firm/70000001039155753
Бахтинское,пивной бар,Бары; Кафе,"Юбилейная улица, 24",,610914,,,,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,,,,,,,,,,,,,,,58.613473,49.410307,https://2gis.com/firm/8163302605588963
Гаштет,рестобар,Кафе; Бары,"улица Алексея Некрасова, 2",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-22:00,+03:00,,,88332442040,,,,,,,,,,,,58.537108,50.024984,https://2gis.com/firm/70000001039146983
"Три Льва, паб",,Бары,"улица Ленина, 24",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-22:00,+03:00,,,88336153926,,,,,,https://vk.com/pab_tri_lva,,,,,,58.541998,50.027477,https://2gis.com/firm/70000001039154686
Весёлый лось,бар,Бары,"улица 60 лет Октября, 24",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,,+03:00,1.0,2,,,,,,,,,,,,,58.532759,50.038749,https://2gis.com/firm/70000001062419589
Жара,бар,Бары,"улица Островского, 4а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,,58.554198,50.022384,https://2gis.com/firm/70000001052484465
Sova,бар,Бары,"проспект Кирова, 30а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-03:00; Сб: 19:00-03:00,+03:00,,,89091303660,,,,,,https://vk.com/sovakch,,,,,,58.555598,50.04091,https://2gis.com/firm/70000001039154417
"Колибри, бар",,Бары,"улица 60 лет Октября, 9а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-23:00,+03:00,,,,,,,,,,,,,,,58.532389,50.029233,https://2gis.com/firm/70000001039154413
"Фишка, бар",,Бары,"улица Ленина, 4",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88336126218,,,,,,,,,,,,58.532959,50.021807,https://2gis.com/firm/70000001039154410
Спутник,бар,Бары; Рюмочные,"Школьная улица, 7",,613008,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,,,,,,,,,,,,,,,58.50672,49.514541,https://2gis.com/firm/70000001018562163
Гараж,бар,Бары,"Комсомольская (мкр. Лянгасово) улица, 59а",1 этаж,610051,мкр. Лянгасово,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 05:00-02:00; Вт: 05:00-02:00; Ср: 05:00-02:00; Чт: 05:00-02:00; Пт: 05:00-02:00; Сб: 05:00-02:00; Вс: 05:00-02:00,+03:00,1.0,1,,,,,,,,,,,,,58.52118,49.461069,https://2gis.com/firm/70000001037151525
Малахит,бар,Бары; Банкетные залы; Кафе,"проспект Мира, 20",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-17:00,+03:00,,,88336145168,,,,,,,,,,,,58.553975,50.034536,https://2gis.com/firm/70000001039155274
БарДак,гриль-бар,Кафе; Бары,"улица Екатерининская, 52",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 16:00-01:00; Вт: 16:00-01:00; Ср: 16:00-01:00; Чт: 16:00-01:00; Пт: 16:00-07:00; Сб: 16:00-07:00; Вс: 16:00-01:00,+03:00,,,89128205488,,,,,,https://vk.com/bardakgrillbar,,,,,,58.732423,50.185994,https://2gis.com/firm/70000001054559511
"Визави, кафе",,Кафе; Караоке-залы; Бары,"улица Луначарского, 2",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.0,1,,,,,,,,,,,,,58.551429,50.060709,https://2gis.com/firm/70000001039155756
"Пирамида, бар",,Бары,"улица Урицкого, 49а",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,,,89638872986,,,,,,,,,,,,58.738292,50.166645,https://2gis.com/firm/70000001046467225
"Broadway, бар",,Бары,"улица Яна Райниса, 11",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Ср: 15:00-23:00; Чт: 15:00-23:00; Пт: 15:00-05:00; Сб: 15:00-05:00,+03:00,,,,,,,,,,,,,,,58.746422,50.179956,https://2gis.com/firm/70000001046467245
12 стульев,бар,Бары,"улица Революции, 6а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,,58.558071,50.020983,https://2gis.com/firm/70000001062109198
"Берёзка, бар",,Бары,"улица Ленина, 55а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-24:00; Сб: 06:00-24:00; Вс: 06:00-23:00,+03:00,,,,,,,,,,,,,,,58.557285,50.030823,https://2gis.com/firm/70000001039154679
Сладкий остров,,Бары,"Вятская набережная, 5а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,,,88336147109,,,,,,https://vk.com/fest_chepetsk,,,,,,58.559879,50.038235,https://2gis.com/firm/70000001054557997
Встреча,бар,Бары,,,,,,,Слободской район,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,,58.690672,50.038058,https://2gis.com/firm/70000001066030832
