Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Sport,сауна,Бани / Сауны,"Производственная улица, 2Б",,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,,,88332457766,89229957766,,,,,https://vk.com/saunu43,,,,,58.504504,49.638479,https://2gis.com/firm/70000001021128941
Баня на дровах,,Бани / Сауны,"Ясная улица, 2",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,1,88332780086,88332780531,,,,,https://vk.com/katkovobanya,,,,,58.573178,49.5393,https://2gis.com/firm/8163302605591907
Берёзка,баня,Бани / Сауны,"Параллельная улица, 23",,613008,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332784961,,,,http://berezka43.ru/,,,,,,,58.507363,49.571811,https://2gis.com/firm/70000001033396111
Fresh,сауна,Бани / Сауны,"Советская улица, 28в",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332471282,89128271282,,,,,https://vk.com/saunafresh43,,,,,58.508857,49.702786,https://2gis.com/firm/70000001006802409
Радужнинские бани,,Бани / Сауны,"улица Конституции, 5а",,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Чт: 12:00-21:30; Пт: 12:00-21:30; Сб: 12:00-21:30; Вс: 12:00-21:30,+03:00,5.0,1,88332472278,,,,,,https://vk.com/club198938849,,,,,58.504762,49.654119,https://2gis.com/firm/8163302605587440
Стрелец,сауна,Бани / Сауны,"улица Орджоникидзе, 1",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89229496550,88332456550,,,,,,,,,,58.509259,49.694726,https://2gis.com/firm/8163302605592433
Звезда,сауна,Бани / Сауны,"улица Орджоникидзе, 10",1 этаж,610047,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,2,88332714414,89823806909,,,,,,https://wa.me/79823806909,,,,58.630383,49.623269,https://2gis.com/firm/8163302605588986
У трамплина,баня,Бани / Сауны,"Подгорная улица, 15д",,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,58.641308,49.630662,https://2gis.com/firm/8163302605592785
Баня,,Бани / Сауны,"территория Центр культурного отдыха, 1а",,610040,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,88332462334,88332462335,,,http://extrim-park43.ru,,,,,,,58.667471,49.642637,https://2gis.com/firm/8163303606203736
У Вени,сауна,Бани / Сауны,"улица Искры, 47/5",,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89005261515,,,,,,,,,,,58.649437,49.749566,https://2gis.com/firm/70000001034413707
Латунка,сауна,Бани / Сауны,"переулок Дружбы, 6",,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,3,88332754004,,,,,,https://vk.com/club206546979,,,,,58.63554,49.62559,https://2gis.com/firm/70000001055452277
Баня на дровах,,Бани / Сауны,"Ясная улица, 2/1",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332780086,88332780531,,,,,https://vk.com/katkovobanya,,,,,58.573291,49.539678,https://2gis.com/firm/70000001052345798
Воробьи,центр отдыха,Базы отдыха; Бани / Сауны,"Береговая улица, 1",,613117,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89229591649,,,,,,,,,,,58.691168,49.829197,https://2gis.com/firm/70000001020273480
Славянские дворы,база отдыха,Базы отдыха; Бани / Сауны,"Вятская улица, 2/1",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89229075787,,,,,,https://vk.com/banyakirov43,,,,,58.664076,49.92293,https://2gis.com/firm/70000001064259763
У моста,сауна,Бани / Сауны,"Октябрьская улица, 29а/1",,610013,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,1,88332319650,,,,,,,,,,,58.495296,49.739933,https://2gis.com/firm/8163302605591980
На берегу,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Родниковая улица, 15",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,3,88332781519,,,,,,https://vk.com/baza_na_beregu,,,,,58.603562,49.947778,https://2gis.com/firm/70000001041297978
Ёлкиголки,глэмпинг,Базы отдыха; Бани / Сауны,"территория Озеро Келейное, 16",,610029,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226680818,,,,,,https://vk.com/julia120783,https://wa.me/79226680818,viber://chat/?number=79226680818,https://t.me/+79226680818,,58.646447,49.506371,https://2gis.com/firm/70000001068977004
Парнас,русская баня на дровах,Бани / Сауны,"территория СТ Автомобилист-Лянгасово, 17",,,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,,,89539439944,,,,,,https://vk.com/club81098778,https://wa.me/79539439944,,,,58.524771,49.447473,https://2gis.com/firm/70000001019462922
На берегу,баня,Бани / Сауны,"улица Тренера Пушкарёва, 4а",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00 (по предварительной записи: пн-вс),+03:00,4.0,5,88332267188,,,,,,,,,,,58.506709,49.713079,https://2gis.com/firm/70000001017340045
Башарово,компания по аренде коттеджа,Бани / Сауны; Аренда коттеджей / гостевых домов,"деревня Башарово, 16а",,610915,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,1,88332745576,,,,,,https://vk.com/basharovo43,https://wa.me/79539491916,viber://chat/?number=79642565576,,,58.507698,49.262362,https://2gis.com/firm/70000001025452649
Мыльня,русская баня на дровах,Бани / Сауны,"деревня Воронье, 10Б",,610051,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),+03:00,,,89531369181,,,,,,https://vk.com/mbllnya,,,,,58.525115,49.439247,https://2gis.com/firm/70000001041252936
Общественная баня,,Бани / Сауны,"улица Матросова, 7",,610051,мкр. Лянгасово,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+03:00,5.0,1,88332747047,,,,,,https://vk.com/banyalyangasovo,,,,,58.516514,49.448816,https://2gis.com/firm/70000001033489084
Bagat`to,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Стрижи-Дальние карьеры, 1",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,3,88332465089 (единый номер: пн-вс 9:00-21:00),89128265089 (единый номер: пн-вс 9:00-21:00),89123696089,,,,https://vk.com/bagattoclub,https://wa.me/79123696089,viber://chat/?number=79123696089,https://t.me/+79123696089,,58.412392,49.312128,https://2gis.com/firm/70000001007346413
"Дельфин, сауна",,Бани / Сауны,"Первомайская улица, 4 к6",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,88336143388,89536813388,,,,,https://vk.com/saunadelfin,,,,,58.558155,50.039998,https://2gis.com/firm/70000001039154359
Белая дача,загородный клуб,Базы отдыха; Бани / Сауны,"Майский посёлок, 1а",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226613105,,,,,,https://vk.com/club78059214,https://wa.me/79226613105,,,,58.413747,49.342145,https://2gis.com/firm/70000001044628171
Багира,сауна,Бани / Сауны,"Вокзальная улица, 1а",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89091438050,88336230082,88332455508,,,,https://vk.com/bagirasauna,,,,,58.67922,50.027074,https://2gis.com/firm/70000001054559807
Акватория,сауна,Бани / Сауны,"улица Свердлова, 6а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332499059,89229899059,,,,,,,,,,58.549025,50.033944,https://2gis.com/firm/70000001039154393
Русская Баня,,Бани / Сауны,"Первомайская улица, 17",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 13:00-21:00; Ср: 13:00-21:00; Чт: 13:00-21:00; Пт: 13:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,,,,,,,,,https://vk.com/rbbanya,,,,,58.550276,50.040049,https://2gis.com/firm/70000001039154371
Баня,,Бани / Сауны,"Профсоюзная улица, 1а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,,+03:00,,,88336199431,,,,,,,,,,,58.560484,49.987446,https://2gis.com/firm/70000001039154367
"Вдвижении, сауна",,Бани / Сауны; Услуги массажиста; Бассейны,"улица Мелиораторов, 30",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,http://sauna-chepetsk.mya5.ru,,https://vk.com/dvizheniye_sauna,,,,,58.522523,49.982175,https://2gis.com/firm/70000001039147361
Мойдодыр,баня,Бани / Сауны,"квартал Цепели, 5",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88336176933,89531393330,,,,,https://vk.com/moydodyr43,,,,,58.518934,50.000327,https://2gis.com/firm/70000001039154390
Оздоровительный центр для Своих,,Бани / Сауны,"улица Ленина, 26а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,58.544598,50.030807,https://2gis.com/firm/70000001039154378
Россия,,Бани / Сауны; Услуги массажиста,"проспект Россия, 13",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88336122888,,,,,,,,,,,58.551052,50.045272,https://2gis.com/firm/70000001039154402
Русская баня,,Бани / Сауны; Игорное оборудование / Аксессуары,"Восточный проезд, 11а",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,,,88332420842,,,,,,https://vk.com/utrobino,,,,,58.535347,50.081117,https://2gis.com/firm/70000001039154398
Лебедь,семейно-оздоровительный центр,Базы отдыха; Бани / Сауны; Аренда беседок; Кейтеринг,"Лебедь, 1",,612273,,,,Орловский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (нерабочие месяцы: сентябрь-апрель),+03:00,,,89226680346,,,,,,https://vk.com/bazalebed,,,,,58.651424,49.05122,https://2gis.com/firm/70000001006140011
Егория,база,Бани / Сауны; Аренда беседок,"автодорога Трапицыны-Майский, 2",,,,,,Оричевский район,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,1,89229023929,,,,,,https://vk.com/egoriya43,https://wa.me/79229023929,,,,58.420979,49.332671,https://2gis.com/firm/70000001023438714
Добрый кот,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Рождественская улица, 2",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88332442636,89127342636,,,,,https://vk.com/dobriykot43,,viber://chat/?number=79127342636,,,58.28531,49.532021,https://2gis.com/firm/70000001054755468
Баня,,Бани / Сауны,,,,,,Слободской,Слободской городской округ,Кировская область,Россия,,+03:00,,,,,,,,,,,,,,58.672646,50.13822,https://2gis.com/firm/70000001066220344
Космос,гостиница,Гостиницы; Бани / Сауны,"Федеральная трасса ""Вятка"", 15",,612282,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,8,89226604326,89536846058,89536789496,,,,,,,,,58.734147,49.241918,https://2gis.com/firm/70000001022992218
"Ас, сауна",,Бани / Сауны,"Первомайская улица, 51",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89628938193,89097198236,,,,,https://vk.com/cayna.gostiniza,,,,,58.740378,50.155145,https://2gis.com/firm/70000001046467191
Сауна,,Бани / Сауны,"улица Кирова, 11",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,58.710224,50.195511,https://2gis.com/firm/70000001046467184
"Акватайм, центральная баня",,Бани / Сауны,"Никольская улица, 4",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88336241051,88336242137,,,,,,,,,,58.729756,50.181118,https://2gis.com/firm/70000001046467162
"Царь Баня, сауна",,Бани / Сауны,"Новая улица, 14",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332450557,,,,,,,,,,,58.743447,50.170761,https://2gis.com/firm/70000001046467176
Базилик,территория отдыха,Базы отдыха; Бани / Сауны; Организация и проведение праздников; Лыжные базы / Горнолыжные комплексы; Прокат спортивного инвентаря / техники,"посёлок Колос, 2",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89195178652,,,,http://базилик43.рф,,,,,,,58.2652,49.528082,https://2gis.com/firm/70000001046093067
Теплосервис,баня,Бани / Сауны,"Колхозная улица, 32",,612080,,,,Оричевский район,Кировская область,Россия,Сб: 08:00-19:00; Вс: 08:00-19:00,+03:00,,,,,,,,,,,,,,58.401669,49.051005,https://2gis.com/firm/70000001035675891
Баня-бочка,компания по строительству бань,Строительство бань / саун,"Приозёрная улица, 17а",,610007,Вересники м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+03:00,5.0,1,89128275553,,,,http://баня-бочка-киров.рф,,https://vk.com/banyabochka43,https://wa.me/79128275553,viber://chat/?number=79128275553,,,58.578401,49.696394,https://2gis.com/firm/70000001039014773
Баня.ру,справочник бань и саун России,Информационные сервисы,,,,,,Киров,Киров городской округ,Кировская область,Россия,,+03:00,,,,,,,http://www.banya.ru,,,,,,,,,https://2gis.com/firm/70000001055110524
